id,name,host_id,host_name,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group,city,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,reviews_per_month
5731,Mai Lodging - Room Single bed 5,9187,Mai,f,Kensington-Cedar Cottage,7,7,f,Kensington-Cedar Cottage,,Vancouver,49.24788,-123.06537,House,Private room,1,0,1,1,$38.00,2,30,103,0.81
10080,D1 -  Million Dollar View 2 BR,30899,Rami,f,Coal Harbour,41,41,t,Downtown,,Vancouver,49.28772,-123.1211,Condominium,Entire home/apt,6,2,2,4,$150.00,60,1124,16,0.17
13188,Garden level studio in ideal loc.,51466,Family Guns,t,Riley Park,2,2,t,Riley Park,,Vancouver,49.24577,-123.10516,Apartment,Entire home/apt,4,1,0,2,$121.00,2,180,218,1.87
13357,! Wow! 2bed 2bath 1bed den Harbour View Apartment!,52118,Liliana,f,Chinatown,4,4,t,Downtown Eastside,,Vancouver,49.27955,-123.10546,Apartment,Entire home/apt,4,2,2,2,$152.00,30,90,57,0.49
13490,Vancouver's best kept secret,52467,Iris,t,Kensington-Cedar Cottage,4,4,f,Kensington-Cedar Cottage,,Vancouver,49.2555,-123.06696,Apartment,Entire home/apt,2,1,1,1,$144.00,30,90,83,0.82
14267,EcoLoft Vancouver,56030,Peter & Alison,f,Kensington-Cedar Cottage,1,1,f,Kensington-Cedar Cottage,,Vancouver,49.24974,-123.08108,House,Entire home/apt,4,1,1,2,$140.00,3,1125,31,0.28
16254,Close to PNE/Hastings Park and East Village,63238,Jason,f,Hastings-Sunrise,1,1,f,Hastings-Sunrise,,Vancouver,49.27734,-123.04152,Guest suite,Entire home/apt,4,1,2,3,$195.00,3,31,5,0.37
16611,"1 block to skytrain station, shops,restaurant,bank",58512,Q,f,Commercial Drive,2,2,f,Grandview-Woodland,,Vancouver,49.26382,-123.07194,House,Entire home/apt,8,2,5,5,"$1,200.00",31,1125,3,0.14
17158,Vancouver 4br 3ba house 20min to DT,48673,Elaine,f,Renfrew-Collingwood,1,1,t,Renfrew-Collingwood,,Vancouver,49.25195,-123.0355,House,Entire home/apt,8,3,4,4,$135.00,4,29,5,0.05
17765,"Central location, nice little apartment",68672,James,f,Mount Pleasant,1,1,f,Mount Pleasant,,Vancouver,49.26181,-123.10905,Apartment,Entire home/apt,2,1,1,1,$121.00,1,60,187,2.21
18270,private rm in clean central 2BR apt,70437,Ran,f,Mount Pleasant,2,2,t,Mount Pleasant,,Vancouver,49.26564,-123.09524,Condominium,Private room,2,1,1,1,$56.00,30,1125,117,1.13
18589,Commercial Drive B&B,71508,Sylvain & Alexis,t,Commercial Drive,1,1,t,Grandview-Woodland,,Vancouver,49.27427,-123.07063,House,Private room,4,1,2,2,$85.00,1,30,377,3.74
18773,Comfort Suite on Kits Beach + Netflix,72055,Dean,f,Kitsilano,1,1,t,Kitsilano,,Vancouver,49.27212,-123.16401,Apartment,Entire home/apt,2,1,0,1,$170.00,2,31,11,0.09
18795,*Best choice in downtown-5 Stars *,70137,Kai,f,West End,3,3,t,West End,,Vancouver,49.28251,-123.12827,House,Private room,2,1,1,1,$95.00,3,365,114,1.12
19527,Art Deco Apartment in Fairview/South Granville,74129,Bevin,f,Kitsilano,1,1,t,Fairview,,Vancouver,49.26117,-123.13535,Apartment,Entire home/apt,2,1,1,1,$168.00,2,90,30,0.26
20085,Bright & Cheerful Uptown Garden Suite,75986,Tony And Rachel,f,Mount Pleasant,1,1,f,Mount Pleasant,,Vancouver,49.25732,-123.08545,Guest suite,Entire home/apt,3,1,2,2,$110.00,30,365,72,0.62
20566,Downtown Vancouver Perfect Suite,77672,Shona,t,Downtown Vancouver,1,1,f,West End,,Vancouver,49.28219,-123.12503,Apartment,Entire home/apt,2,1,1,1,$232.00,3,730,53,0.45
21912,PRIVATE ROOM + BATH + KING BED + SEPARATE ENTRY,83871,Adam,t,Renfrew-Collingwood,3,3,f,Renfrew-Collingwood,,Vancouver,49.23365,-123.05439,House,Private room,2,1,1,1,$50.00,2,30,313,3.14
21913,PRIVATE  SUITE (KITCHEN+ BEDROOM+BATH+LIVING ROOM),83871,Adam,t,Renfrew-Collingwood,3,3,f,Renfrew-Collingwood,,Vancouver,49.23427,-123.05309,House,Entire home/apt,2,1,1,1,$65.00,30,600,208,2.18
22128,"Big+Sunny 1-BR-SUITE**15 min to UBC, 10 Kits Beach",84820,Chris,f,Marpole,0,0,f,Marpole,,Vancouver,49.21208,-123.13201,House,Private room,2,1.5,1,2,$150.00,30,240,24,0.21
24460,Mai Lodging - 4204 Two single bed 7,9187,Mai,f,Kensington-Cedar Cottage,7,7,f,Kensington-Cedar Cottage,,Vancouver,49.24756,-123.06716,House,Private room,2,1.5,1,2,$52.00,30,90,65,0.57
26047,The Alpha Downtown Accommodation by COMFYSUITES,109845,Alicia,f,Downtown Vancouver,3,3,f,Downtown,,Vancouver,49.27933,-123.12377,Condominium,Entire home/apt,4,1,1,2,$159.00,30,365,31,0.31
26234,Downtown Yaletown by COMFYSUITES,109845,Alicia,f,Downtown Vancouver,3,3,f,Downtown,,Vancouver,49.27755,-123.12487,Apartment,Entire home/apt,3,1,1,2,$170.00,30,730,6,0.19
30420,FURNISHED MODERN BACHELOR SUITE,131433,Carol,f,Downtown Vancouver,1,1,t,West End,,Vancouver,49.27795,-123.13173,Condominium,Entire home/apt,2,1,0,1,$89.00,30,360,3,0.12
32746,Designer Urban Park View Townhouse,52118,Liliana,f,Chinatown,4,4,t,Downtown Eastside,,Vancouver,49.28034,-123.10415,Apartment,Private room,3,1,1,2,$107.00,30,90,80,0.72
33150,“Suite on Main”  near  Q.E Park,143724,Ili,f,Riley Park,0,0,t,Riley Park,,Vancouver,49.24686,-123.10469,Apartment,Entire home/apt,4,1,1,2,$135.00,3,365,40,0.4
35304,"LOCATION, LOCATION, LOCATION- Cozy&Clean Lg. Space",151996,Howie And Lisa,t,Commercial Drive,1,1,t,Grandview-Woodland,,Vancouver,49.27351,-123.06945,House,Entire home/apt,2,1,1,1,$99.00,2,30,391,3.53
42645,The Charlie by COMFYSUITES,109845,Alicia,f,Downtown Vancouver,3,3,f,Downtown,,Vancouver,49.28001,-123.12475,Condominium,Entire home/apt,4,1,1,1,$159.00,30,730,28,0.25
48146,Executive Furnished Apartment (2 months minimum),219431,Damien,f,Renfrew-Collingwood,1,1,f,Renfrew-Collingwood,,Vancouver,49.23457,-123.02644,Condominium,Entire home/apt,2,1,1,1,$79.00,30,730,0,
49736,Boutique Studio Apartment in Kits!,227101,Sarah,f,Kitsilano,1,1,f,Kitsilano,,Vancouver,49.2674,-123.14634,Condominium,Entire home/apt,2,1,0,1,"$1,950.00",31,1125,9,0.08
54261,Yaletown 1 Bedroom Condo,254337,Edgar,f,Downtown Vancouver,2,2,f,Downtown,,Vancouver,49.27655,-123.12485,Condominium,Entire home/apt,4,1,1,1,$126.00,90,365,37,0.36
68894,Top-of-the-Line House: 5 min walk to Commerical Dr,343195,Trish,t,Grandview-Woodland,2,2,f,Grandview-Woodland,,Vancouver,49.26705,-123.06081,House,Entire home/apt,4,2,2,2,$113.00,3,365,98,0.99
