id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5731,Mai Lodging - Room Single bed 5,9187,Mai,,Kensington-Cedar Cottage,49.24788,-123.06537,Private room,38,2,103,2019-08-19,0.81,6,346
10080,D1 -  Million Dollar View 2 BR,30899,Rami,,Downtown,49.28772,-123.1211,Entire home/apt,150,60,16,2017-02-26,0.17,38,320
13188,Garden level studio in ideal loc.,51466,Family Guns,,Riley Park,49.24577,-123.10516,Entire home/apt,121,2,218,2019-09-10,1.87,2,255
13357,! Wow! 2bed 2bath 1bed den Harbour View Apartment!,52118,Liliana,,Downtown Eastside,49.27955,-123.10546,Entire home/apt,152,30,57,2019-06-30,0.49,3,264
13490,Vancouver's best kept secret,52467,Iris,,Kensington-Cedar Cottage,49.2555,-123.06696,Entire home/apt,144,30,83,2019-07-31,0.82,1,314
14267,EcoLoft Vancouver,56030,Peter & Alison,,Kensington-Cedar Cottage,49.24974,-123.08108,Entire home/apt,140,3,31,2018-07-08,0.28,1,5
16254,Close to PNE/Hastings Park and East Village,63238,Jason,,Hastings-Sunrise,49.27734,-123.04152,Entire home/apt,195,3,5,2019-08-19,0.37,1,290
16611,"1 block to skytrain station, shops,restaurant,bank",58512,Q,,Grandview-Woodland,49.26382,-123.07194,Entire home/apt,1200,31,3,2018-02-16,0.14,3,89
17158,Vancouver 4br 3ba house 20min to DT,48673,Elaine,,Renfrew-Collingwood,49.25195,-123.0355,Entire home/apt,135,4,5,2018-03-31,0.05,1,70
17765,"Central location, nice little apartment",68672,James,,Mount Pleasant,49.26181,-123.10905,Entire home/apt,121,1,187,2019-09-12,2.21,1,2
18270,private rm in clean central 2BR apt,70437,Ran,,Mount Pleasant,49.26564,-123.09524,Private room,56,30,117,2018-10-31,1.13,2,351
18589,Commercial Drive B&B,71508,Sylvain & Alexis,,Grandview-Woodland,49.27427,-123.07063,Private room,85,1,377,2019-09-13,3.74,1,0
18773,Comfort Suite on Kits Beach + Netflix,72055,Dean,,Kitsilano,49.27212,-123.16401,Entire home/apt,170,2,11,2019-09-14,0.09,1,275
18795,*Best choice in downtown-5 Stars *,70137,Kai,,West End,49.28251,-123.12827,Private room,95,3,114,2019-09-15,1.12,3,318
19527,Art Deco Apartment in Fairview/South Granville,74129,Bevin,,Fairview,49.26117,-123.13535,Entire home/apt,168,2,30,2019-08-25,0.26,1,82
20085,Bright & Cheerful Uptown Garden Suite,75986,Tony And Rachel,,Mount Pleasant,49.25732,-123.08545,Entire home/apt,110,30,72,2019-07-27,0.62,1,227
20566,Downtown Vancouver Perfect Suite,77672,Shona,,West End,49.28219,-123.12503,Entire home/apt,232,3,53,2019-08-30,0.45,1,0
21912,PRIVATE ROOM + BATH + KING BED + SEPARATE ENTRY,83871,Adam,,Renfrew-Collingwood,49.23365,-123.05439,Private room,50,2,313,2019-09-06,3.14,3,324
21913,PRIVATE  SUITE (KITCHEN+ BEDROOM+BATH+LIVING ROOM),83871,Adam,,Renfrew-Collingwood,49.23427,-123.05309,Entire home/apt,65,30,208,2019-09-07,2.18,3,205
22128,"Big+Sunny 1-BR-SUITE**15 min to UBC, 10 Kits Beach",84820,Chris,,Marpole,49.21208,-123.13201,Private room,150,30,24,2011-08-18,0.21,2,0
24460,Mai Lodging - 4204 Two single bed 7,9187,Mai,,Kensington-Cedar Cottage,49.24756,-123.06716,Private room,52,30,65,2019-01-17,0.57,6,351
26047,The Alpha Downtown Accommodation by COMFYSUITES,109845,Alicia,,Downtown,49.27933,-123.12377,Entire home/apt,159,30,31,2019-07-29,0.31,3,341
26234,Downtown Yaletown by COMFYSUITES,109845,Alicia,,Downtown,49.27755,-123.12487,Entire home/apt,170,30,6,2018-08-31,0.19,3,134
30420,FURNISHED MODERN BACHELOR SUITE,131433,Carol,,West End,49.27795,-123.13173,Entire home/apt,89,30,3,2019-07-21,0.12,1,365
32746,Designer Urban Park View Townhouse,52118,Liliana,,Downtown Eastside,49.28034,-123.10415,Private room,107,30,80,2019-01-06,0.72,3,361
33150,“Suite on Main”  near  Q.E Park,143724,Ili,,Riley Park,49.24686,-123.10469,Entire home/apt,135,3,40,2019-08-04,0.40,1,339
35304,"LOCATION, LOCATION, LOCATION- Cozy&Clean Lg. Space",151996,Howie And Lisa,,Grandview-Woodland,49.27351,-123.06945,Entire home/apt,99,2,391,2019-08-21,3.53,1,338
42645,The Charlie by COMFYSUITES,109845,Alicia,,Downtown,49.28001,-123.12475,Entire home/apt,159,30,28,2018-09-06,0.25,3,232
48146,Executive Furnished Apartment (2 months minimum),219431,Damien,,Renfrew-Collingwood,49.23457,-123.02644,Entire home/apt,79,30,0,,,1,365
49736,Boutique Studio Apartment in Kits!,227101,Sarah,,Kitsilano,49.2674,-123.14634,Entire home/apt,1950,31,9,2016-08-22,0.08,1,363
54261,Yaletown 1 Bedroom Condo,254337,Edgar,,Downtown,49.27655,-123.12485,Entire home/apt,126,90,37,2019-07-09,0.36,2,221
68894,Top-of-the-Line House: 5 min walk to Commerical Dr,343195,Trish,,Grandview-Woodland,49.26705,-123.06081,Entire home/apt,113,3,98,2019-09-12,0.99,2,320
70453,"Open-concept, Modern Heritage Home with over 20 Skylights",56709,Samantha Jo,,Downtown Eastside,49.27947,-123.08752,Entire home/apt,301,3,19,2019-09-02,0.37,1,0
72659,Central Convenient Vibrant Neighbourhood!,375168,Donna,,Grandview-Woodland,49.27357,-123.07024,Entire home/apt,211,7,12,2018-05-23,0.15,1,259
73841,Amazing Downtown Vancouver Condo!,386761,Ying Ying,,Downtown,49.27659,-123.12481,Entire home/apt,130,30,13,2019-08-28,0.13,1,14
77157,Room with a Garden View!,412802,Anne,,Arbutus Ridge,49.24675,-123.16711,Private room,150,1,600,2019-08-26,5.80,2,332
98242,"Studio, private patio, WIFI/Cbl, pets & long term!",31065,Mj,,Sunset,49.22293,-123.07785,Entire home/apt,56,30,467,2019-07-03,4.61,2,169
98830,Your Downtown Executive Suite,520997,Cristina,,Downtown,49.27982,-123.12509,Entire home/apt,110,30,259,2019-08-27,2.55,1,60
102268,Cozy and large studio,514310,Bibi,,Riley Park,49.25042,-123.10279,Entire home/apt,60,30,100,2019-08-31,1.00,1,270
111077,"Clean and Comfy, 2 Bd, Walk to the Drive",569682,Kristina,,Grandview-Woodland,49.26726,-123.05969,Entire home/apt,139,3,99,2019-08-13,0.98,1,359
118513,"White Orchid - Super comfy bed, Steps-2 Skytrain",597619,Rozsa,,Renfrew-Collingwood,49.24571,-123.04788,Private room,61,30,34,2018-10-01,0.35,2,169
125081,One step away from the Drive!,69746,Serge & Brigitte,,Grandview-Woodland,49.26772,-123.06551,Private room,75,2,181,2019-09-14,1.56,2,3
125176,Main Street Vineyard,622926,Mark,,Riley Park,49.24648,-123.09241,Entire home/apt,110,2,452,2019-09-02,4.57,1,214
129163,"Rock Rose - Clean, Cozy, Comfy, Steps2-Skytrain.",597619,Rozsa,,Renfrew-Collingwood,49.24507,-123.04941,Private room,44,30,50,2019-02-16,0.56,2,267
129756,cosy room near skytrain &The Drive,69746,Serge & Brigitte,,Grandview-Woodland,49.26785,-123.06612,Private room,79,1,195,2019-08-27,1.94,2,228
134688,"West view, Transit convenient, clean & comfortable",653436,Pirike,,Renfrew-Collingwood,49.24493,-123.04916,Private room,38,30,41,2019-01-15,0.42,5,206
140698,"1905 Heritage Loft, Main/Broadway, Olympic Village",69640,Steve,,Mount Pleasant,49.26292,-123.10581,Entire home/apt,99,4,105,2019-09-03,1.05,1,326
160157,City Centre and Walk to Beach,767559,Valentina,,West End,49.28232,-123.12954,Entire home/apt,109,2,434,2019-08-28,4.36,1,2
170137,Family friendly Point Grey Home,381497,Catherine,,Dunbar Southlands,49.2571,-123.19101,Entire home/apt,175,1,139,2019-08-31,1.42,1,292
172827,Charming and Homely Downtown Penthouse,19982,Fernande,,West End,49.28161,-123.12696,Entire home/apt,350,3,6,2019-08-15,0.43,1,0
174135,VANCOUVER'S BEST PRIVATE SUITE/LOFT,831892,Hollie,,Downtown Eastside,49.27782,-123.08985,Entire home/apt,101,30,116,2018-04-04,1.19,1,115
182451,KITS SUPER CENTRAL DELIGHTFULL APT!,874660,Penny,,Kitsilano,49.25962,-123.16848,Entire home/apt,93,30,51,2018-12-25,0.52,3,78
194806,D28 - Spectacular 2 bedroom,30899,Rami,,Downtown,49.27936,-123.10934,Entire home/apt,124,30,29,2019-07-03,0.30,38,199
